id,pop,lat,long
Up0391_QMN75777,altissima,,
Up0395_QMN75782,altissima,,
Up0402_QMN75768,altissima,,
Up0798_SAMAABTC12496,altissima,,
Up0150_WAMR164135,B1_1,-15.5497,124.4344
Up1320_WAMR171529,B1_2,-16.323,124.7589
Up0227_WAMR168166,B1_3,-15.0727,125.1797
WAMR168135,B1_4,-15.5944,125.1872
WAMR168136,B1_4,-15.5944,125.1872
Up0215_WAMR167991,B1_5,-15.9894,125.3267
Up0219_WAMR168021,B1_5,-15.9894,125.3267
WAMR168045,B1_5,-15.9894,125.3294
Up0187_WAMR162567,B2_1,-17.51092,126.10867
WAMR162594,B2_1,-17.51154,126.11575
Up0658_SAMAABTC86541,B2_2,-17.4483,126.34
Up0659_SAMAABTC86542,B2_2,-17.4483,126.34
Up0660_SAMAABTC86543,B2_2,-17.4483,126.34
Up0661_SAMAABTC86544,B2_2,-17.4483,126.34
Up0662_SAMAABTC86552,B2_2,-17.4483,126.34
CCM3531,B3_1,-18.24807,127.78185
Up0076_WAMR119910,B3_2,-15.8333,128.0333
CCM3468,B3_3,-17.41472,128.17877
CCM3469,B3_3,-17.41472,128.17877
Up0172_WAMR162496,B3_4,-15.63868,128.23791
Up0207_WAMR167930,B3_5,-15.8447,128.3247
CCM3444,B3_6,-17.34276,128.36
CCM3448,B3_7,-17.48537,128.37675
Up0069_WAMR119541,B3_8,-15.7833,128.7833
Up0192_WAMR167726,fail,,
Up0086_WAMR115639,glandulosa,,
WAMR167734,hybrid,-14.8202,125.7211
Up1290_WAMR163566,hybrid,-14.0733,126.4417
Up1068_WAMR164950,hybrid,-14.7588,127.0481
Up0165_WAMR162489,hybrid,-15.62681,128.67263
Up0175_WAMR162502,hybrid,-15.52691,128.83514
Up0827_SAMAABTC93257,hybrid,-15.8787022,129.0571664
Up1321_WAMR171536,I1_1,-16.323,124.7589
Up0184_WAMR162563,I1_10,-17.51092,126.10867
WAMR162566,I1_10,-17.51092,126.10867
WAMR162621,I1_11,-17.27888,126.60098
Up1226_NTMR36478,I1_12,-13.8944,126.6069
Up1266_WAMR164844,I1_12,-13.8944,126.6069
Up1070_WAMR164970,I1_13,-14.7588,127.0481
Up0183_WAMR162558,I1_14,-15.89966,128.93649
Up0083_WAMR113846,I1_2,-17.068,125.2478
Up1293_WAMR168190,I1_3,-15.9894,125.3294
Up1310_WAMR171408,I1_3,-15.9897,125.3294
WAMR168047,I1_3,-15.9894,125.3294
WAMR168048,I1_3,-15.9894,125.3294
Up1297_WAMR169937,I1_4,-16.7166,125.455
Up1298_WAMR169939,I1_4,-16.7166,125.455
Up0196_WAMR167730,I1_5,-14.8202,125.7211
WAMR167733,I1_5,-14.8202,125.7211
WAMR167849,I1_6,-14.7908,125.8261
Up1074_WAMR64926,I1_7,-14.878889,125.916111
Up1269_WAMR164857,I1_8,-14.373,125.9442
Up0209_WAMR167949,I1_9,-16.4197,126.0992
Up0211_WAMR167951,I1_9,-16.4197,126.0992
Up1118_NTMR36173,I2_15,-15.611435,130.38786
Up0276_NTMR35114,I2_16,-12.4505,131.0955
Up1136_NTMR36228,I2_17,-13.51479,132.60605
Up1186_QMJ88804,I2_18,-17.48117,138.183
Up0166_WAMR162490,IH,-15.62681,128.67263
Up1098_NTMR36197,lithomoda,,
CCM6249,littlejohni,,
CCM6262,littlejohni,,
CCM6283,littlejohni,,
Up0785_SAMAABTC12480,littlejohni,,
Up1174_HH08-115,littlejohni,,
Up1163_WAMR171452,micra,,
CCM6278,mimula,,
CCM6279,mimula,,
CCM6281,mimula,,
Up0990_SAMAABTC58971,mimula,,
Up1150_QMJ88531,mimula,,
Up1180_QM J87560,mimula,,
Up0074_WAMR119109,minima,,
CCM6293,rugosa,,
Up0604_SAMAABTC03643,rugosa,,
Up0637_SAMAABTC84872,rugosa,,
Up0781_SAMAABTC12475,rugosa,,
Up0949_SAMAABTC25848,rugosa,,
Up1236_WAMR172688,russelli,,
Up0059_WAMR125728,saxatilis,,
CCM6275,sp_quinkan,,
CCM6276,sp_quinkan,,
Up1181_QMJ88602,sp_quinkan,,
CCM6282,sp_wallyi,,
Up1232_EV368,sp_wallyi,,
Up1233_EV369,sp_wallyi,,
Up1234_EV370,sp_wallyi,,
Up1115_NTMR36214,stridera,,
Up1059_WAMR135644,talpa,,
Up1030_SAMA ABTC102828,trachyderma,,
